Tier,Color,Points,BLACK,BLUE,GREEN,RED,WHITE
1,BLACK,0,0,1,1,1,1
1,BLACK,0,0,2,1,1,1
1,BLACK,0,0,2,0,1,2
1,BLACK,0,1,0,1,3,0
1,BLACK,0,0,0,2,1,0
1,BLACK,0,0,0,2,0,2
1,BLACK,0,0,0,3,0,0
1,BLACK,1,0,4,0,0,0
1,BLUE,0,1,0,1,1,1
1,BLUE,0,1,0,1,2,1
1,BLUE,0,0,0,2,2,1
1,BLUE,0,0,1,3,1,0
1,BLUE,0,2,0,0,0,1
1,BLUE,0,2,0,2,0,0
1,BLUE,0,3,0,0,0,0
1,BLUE,1,0,0,0,4,0
1,WHITE,0,1,1,1,1,0
1,WHITE,0,1,1,2,1,0
1,WHITE,0,1,2,2,0,0
1,WHITE,0,1,1,0,0,3
1,WHITE,0,1,0,0,2,0
1,WHITE,0,2,2,0,0,0
1,WHITE,0,0,3,0,0,0
1,WHITE,1,0,0,4,0,0
1,GREEN,0,1,1,0,1,1
1,GREEN,0,2,1,0,1,1
1,GREEN,0,2,1,0,2,0
1,GREEN,0,0,3,1,0,1
1,GREEN,0,0,1,0,0,2
1,GREEN,0,0,2,0,2,0
1,GREEN,0,0,0,0,3,0
1,GREEN,1,4,0,0,0,0
1,RED,0,1,1,1,0,1
1,RED,0,1,1,1,0,2
1,RED,0,2,0,1,0,2
1,RED,0,3,0,0,1,1
1,RED,0,0,2,1,0,0
1,RED,0,0,0,0,2,2
1,RED,0,0,0,0,0,3
1,RED,1,0,0,0,0,4
2,BLACK,1,0,2,2,0,3
2,BLACK,1,2,0,3,0,3
2,BLACK,2,0,1,4,2,0
2,BLACK,2,0,0,5,3,0
2,BLACK,2,0,0,0,0,5
2,BLACK,3,6,0,0,0,0
2,BLACK,1,0,2,2,3,0
2,BLACK,1,3,2,3,0,0
2,BLACK,2,0,3,0,0,5
2,BLACK,2,4,0,0,1,2
2,BLACK,2,0,5,0,0,0
2,BLACK,3,0,6,0,0,0
2,WHITE,1,2,0,3,2,0
2,WHITE,1,0,3,0,3,2
2,WHITE,2,2,0,1,4,0
2,WHITE,2,3,0,0,5,0
2,WHITE,2,0,0,0,5,0
2,WHITE,3,0,0,0,0,6
2,GREEN,1,0,0,2,3,3
2,GREEN,1,2,3,0,0,2
2,GREEN,2,1,2,0,0,4
2,GREEN,2,0,5,3,0,0
2,GREEN,2,0,0,5,0,0
2,GREEN,3,0,0,6,0,0
2,RED,1,3,0,0,2,2
2,RED,1,3,3,0,2,0
2,RED,2,0,4,2,0,1
2,RED,2,5,0,0,0,3
2,RED,2,5,0,0,0,0
2,RED,3,0,0,0,6,0
3,BLACK,3,0,3,5,3,3
3,BLACK,4,0,0,0,7,0
3,BLACK,4,3,0,3,6,0
3,BLACK,5,3,0,0,7,0
3,BLUE,3,5,0,3,3,3
3,BLUE,4,0,0,0,0,7
3,BLUE,4,3,3,0,0,6
3,BLUE,5,0,3,0,0,7
3,WHITE,3,3,3,3,5,0
3,WHITE,4,7,0,0,0,0
3,WHITE,4,6,0,0,3,3
3,WHITE,5,7,0,0,0,3
3,GREEN,3,3,3,0,3,5
3,GREEN,4,0,7,0,0,0
3,GREEN,4,0,6,3,0,3
3,GREEN,5,0,7,3,0,0
3,RED,3,3,5,3,0,3
3,RED,4,0,0,7,0,0
3,RED,4,0,3,6,3,0
3,RED,5,0,0,7,3,0
